Time,X1,X2,X3,X4,X5,SpeedDoppler1,SpeedDoppler2,SpeedDoppler3,SpeedDoppler4,SpeedDoppler5,Accel1,Accel2,Accel3,Accel4,Accel5,Spacing2,Spacing3,Spacing4,Spacing5
758.1,18687.152774956878,18658.778830850042,18629.517660066755,18600.915299932098,18568.554692883074,24.389314262750872,24.340699554755012,24.19974816566711,24.75378419108471,26.664385479799627,0.07562746014126986,-0.009337152694293138,-0.14752848292218346,-0.3348264454717764,-0.32599960316879617,23.177944106835554,24.555170783287526,23.64536013465692,27.40360704902411
758.2,18689.592084520453,18661.212854119753,18631.936897240907,18603.389004218978,18571.21950143304,24.396877008765,24.339765839485583,24.18499531737489,24.72030154653753,26.631785519482747,0.07102914389172099,-0.007417698204008616,-0.1433679795033882,-0.33913401768995044,-0.3371755374864094,23.183230400700182,24.569956878846046,23.590893021928757,27.212502785938675
758.3,18692.03212736705,18663.64679361521,18634.354679932745,18605.859338703543,18573.8809941073,24.40397992315417,24.339024069665182,24.170658519424553,24.686388144768536,26.598067965734106,0.06561498511999275,-0.0056311425490918054,-0.13890569729198887,-0.34307849625321296,-0.34838237042443154,23.18933375183761,24.586113682466152,23.538341229201585,27.021344596242095
758.4,18694.47285343429,18666.080667866467,18636.7710512562,18608.326262125538,18576.539058992024,24.41054142166617,24.338460955410273,24.156767949695354,24.652080295143215,26.563229728691663,0.05931937795654818,-0.003881531432412544,-0.13409527552983747,-0.34645348954430943,-0.3597137712147003,23.19618556782362,24.60361661026595,23.487789130662684,26.830203133513685
758.5,18696.914204173347,18668.51449455435,18639.186057574792,18610.789737887604,18579.193583396038,24.416473359461826,24.338072802267032,24.14335842214237,24.617434946188784,26.527258351570193,0.05210478129079377,-0.002152663846146652,-0.1289565973584672,-0.3494544457711868,-0.3710686398264684,23.203709618995987,24.62243697955832,23.439319687188224,26.639154491566266
758.6,18699.356112033198,18670.948291071258,18641.59974863402,18613.249734109995,18581.844453887996,24.421683837590905,24.337857535882417,24.130462762406523,24.582489501611665,26.490151487587546,0.04399561231284821,-0.0004956755562091075,-0.12359489532908441,-0.3521473814030074,-0.38221102760928716,23.211820961940163,24.642542437237484,23.393014524025027,26.44828022199942
758.7,18701.79850039502,18673.382074346468,18644.012176935783,18615.70622232325,18584.491557981615,24.42608339882219,24.337807968326796,24.118103272873615,24.547274763471364,26.451930384826618,0.03499022040188038,0.0011460383112193995,-0.11806221847006526,-0.35434852620749524,-0.3933312906562847,23.22042604855224,24.663897410684644,23.34895461253324,26.257664341634488
758.8,18704.241283686006,18675.815860873492,18646.423396951977,18618.159178056965,18587.134784363643,24.429582420862378,24.337922572157918,24.10629705102661,24.511839910850615,26.41259725576099,0.025048344071478823,0.002829551262415464,-0.11233758648241832,-0.35605315842698104,-0.404689203633275,23.229422812513718,24.68646392151472,23.307218895012163,26.067393693322053
758.9,18706.68436716981,18678.249667278465,18648.833464969146,18620.608581782257,18589.774020643203,24.432087255269526,24.33820552728416,24.095063292378367,24.476234595007917,26.37212833539766,0.014204150610268584,0.004504578199480136,-0.10642611583396189,-0.3573323544842566,-0.4160437245065296,23.2386998913461,24.710202309319488,23.2678831868892,25.87756113905413
759.0,18709.12764691609,18680.683510354083,18651.242439167803,18623.054418579984,18592.40915325812,24.433507670330552,24.338655985104108,24.08442068079497,24.44050135955949,26.33052396294701,0.0025044417133202046,0.006171842475559686,-0.1003795276267283,-0.3581314478213926,-0.4270446175071285,23.248136562007772,24.73507118628017,23.231020587818755,25.688265321865735
759.1,18711.571010205334,18683.117406811805,18653.650379338244,18625.496678058702,18595.040070431325,24.433758114501885,24.339273169351664,24.074382728032298,24.40468821477735,26.287819501196296,-0.010078364608290258,0.00785560429484633,-0.0942174111876426,-0.35846014840341667,-0.4377789773206331,23.257603393529195,24.761027473561757,23.196701279541564,25.499607627376797
759.2,18714.01433562496,18685.55137340676,18656.05734652399,18627.935354579437,18597.666663486558,24.432750278041055,24.34005872978115,24.064960986913533,24.36884219993701,26.244041603464233,-0.023573914041712385,0.00942911662278334,-0.08795113503346386,-0.3582871508440988,-0.44833581004127154,23.26696221820012,24.788026882770414,23.164991944553883,25.311691092878725
759.3,18716.457492783196,18687.985426425323,18658.463402867008,18630.370447363675,18600.288825967855,24.430392886636884,24.341001641443427,24.056165873410187,24.3330134848526,26.199208022460105,-0.03789099309109645,0.010760743639046666,-0.08158106188496106,-0.3574308058343689,-0.4587385750737383,23.276066357873702,24.816023558314686,23.13595550333263,25.124621395820547
759.4,18718.900342616893,18690.419580393183,18660.868611549038,18632.801961558132,18602.906453077227,24.426603787327775,24.34207771580733,24.04800776722169,24.297270404269163,26.15333416495273,-0.052968251613876305,0.011859140123533507,-0.07512531362859676,-0.3558682425149229,-0.46885201465119763,23.284762223709464,24.844968844145246,23.109649990905716,24.938508480905845
759.5,18721.342738154366,18692.853847460465,18663.273036699193,18635.22990925735,18605.51944223365,24.421306962166387,24.343263629819685,24.04049523585883,24.26168358001767,26.106448963487612,-0.0688447140602122,0.012629665249441757,-0.06863186176282454,-0.3536674420264063,-0.47845980360175844,23.29289069390134,24.874810761272006,23.086127441844262,24.753467023698583
759.6,18723.78452462701,18695.288236971774,18665.676743063468,18637.65430927814,18608.127694830982,24.414422490760366,24.34452659634463,24.03363204968255,24.22631683581503,26.058602983127436,-0.08546208230853836,0.012919488141420743,-0.06207955948045907,-0.350746944817395,-0.48773151360368416,23.300287655238122,24.90549390830542,23.065433785328757,24.569614447157043
