X,Y
4077.5,0.008836092
4082.5,0.008771867
4087.5,0.008571575
4092.5,0.008231967
4097.5,0.007769948
4102.5,0.007217492
4107.5,0.006619823
4112.5,0.006031488
4117.5,0.005491799
4122.5,0.005015887
4127.5,0.004605581
4132.5,0.004244363
4137.5,0.003896979
4142.5,0.003524701
4147.5,0.003093806
4152.5,0.002589755
4157.5,0.002033825
4162.5,0.001463429
4167.5,0.00091964
4172.5,0.000438094
4177.5,3.90E-05
4182.5,-0.000282338
4187.5,-0.000552797
4192.5,-0.000815475
4197.5,-0.001108646
4202.5,-0.001448007
4207.5,-0.001840665
4212.5,-0.002282356
4217.5,-0.002765036
4222.5,-0.003272652
4227.5,-0.003788058
4232.5,-0.004303794
4237.5,-0.004821139
4242.5,-0.005338738
4247.5,-0.005846515
4252.5,-0.00633967
4257.5,-0.006827045
4262.5,-0.007323398
4267.5,-0.007831028
4272.5,-0.008329451
4277.5,-0.008803923
4282.5,-0.009243315
4287.5,-0.009640487
4292.5,-0.009991516
4297.5,-0.010297261
4302.5,-0.010587733
4307.5,-0.010913961
4312.5,-0.011311641
4317.5,-0.011782982
4322.5,-0.012334868
4327.5,-0.012966436
4332.5,-0.013682654
4337.5,-0.014433407
4342.5,-0.015131503
4347.5,-0.015721134
4352.5,-0.016196963
4357.5,-0.016576131
4362.5,-0.01690273
4367.5,-0.01726182
4372.5,-0.017636609
4377.5,-0.018065587
4382.5,-0.018494137
4387.5,-0.018816692
4392.5,-0.019031895
4397.5,-0.019110258
4402.5,-0.019114509
4407.5,-0.019118262
4412.5,-0.019225196
4417.5,-0.019281873
4422.5,-0.019249036
4427.5,-0.019159959
4432.5,-0.018964265
4437.5,-0.018774935
4442.5,-0.018527632
4447.5,-0.018299246
4452.5,-0.018141737
4457.5,-0.018094488
4462.5,-0.018068831
4467.5,-0.018010658
4472.5,-0.018051777
4477.5,-0.018114235
4482.5,-0.018178909
4487.5,-0.018108707
4492.5,-0.017832042
4497.5,-0.017356567
4502.5,-0.01664938
4507.5,-0.015839936
4512.5,-0.014995546
4517.5,-0.014279569
4522.5,-0.013699778
4527.5,-0.013245348
4532.5,-0.012899415
4537.5,-0.012626021
4542.5,-0.012402999
4547.5,-0.01217057
4552.5,-0.011972597
4557.5,-0.011790289
4562.5,-0.011611477
4567.5,-0.011398421
4572.5,-0.011114554
4577.5,-0.010757976
4582.5,-0.010349244
4587.5,-0.009913293
4592.5,-0.00948327
4597.5,-0.009098862
4602.5,-0.008783369
4607.5,-0.008546984
4612.5,-0.008375636
4617.5,-0.008242841
4622.5,-0.008129614
4627.5,-0.008047544
4632.5,-0.008015226
4637.5,-0.008047462
4642.5,-0.008148409
4647.5,-0.008303483
4652.5,-0.008485552
4657.5,-0.008643403
4662.5,-0.008726872
4667.5,-0.008705679
4672.5,-0.008583651
4677.5,-0.008395098
4682.5,-0.008186874
4687.5,-0.008012893
4692.5,-0.007905764
4697.5,-0.007885171
4702.5,-0.007950306
4707.5,-0.008086508
4712.5,-0.008273663
4717.5,-0.008488348
4722.5,-0.00872376
4727.5,-0.008968238
4732.5,-0.009199154
4737.5,-0.00936978
4742.5,-0.009437991
4747.5,-0.009375561
4752.5,-0.009162109
4757.5,-0.008793384
4762.5,-0.008281344
4767.5,-0.00766457
4772.5,-0.006985472
4777.5,-0.006269424
4782.5,-0.005532883
4787.5,-0.004799798
4792.5,-0.004097836
4797.5,-0.003435681
4802.5,-0.002814706
4807.5,-0.002230646
4812.5,-0.001671133
4817.5,-0.001111612
4822.5,-0.000513811
4827.5,0.000147297
4832.5,0.00086909
4837.5,0.001636359
4842.5,0.002432291
4847.5,0.003227511
4852.5,0.003987176
4857.5,0.004687191
4862.5,0.005314285
4867.5,0.005860417
4872.5,0.006319119
4877.5,0.006681016
4882.5,0.006939386
4887.5,0.007098063
4892.5,0.007163193
4897.5,0.007150214
4902.5,0.007084586
4907.5,0.006998916
4912.5,0.00691093
4917.5,0.00683881
4922.5,0.00679332
4927.5,0.006768214
4932.5,0.006759331
4937.5,0.006768172
4942.5,0.006791973
4947.5,0.006831673
4952.5,0.006891986
4957.5,0.006966695
4962.5,0.007042827
4967.5,0.007104136
4972.5,0.007126919
4977.5,0.00710109
4982.5,0.007035072
4987.5,0.006934418
4992.5,0.006817207
4997.5,0.006714172
5002.5,0.006651745
5007.5,0.00663829
5012.5,0.006666508
5017.5,0.006721307
5022.5,0.006785501
5027.5,0.006849323
5032.5,0.006899608
5037.5,0.006931998
5042.5,0.006954662
5047.5,0.006964648
5052.5,0.00694412
5057.5,0.00686042
5062.5,0.006686355
5067.5,0.006399666
5072.5,0.005992115
5077.5,0.005468479
5082.5,0.004854818
5087.5,0.004197295
5092.5,0.003531112
5097.5,0.002871983
5102.5,0.002226119
5107.5,0.001598644
5112.5,0.000986385
5117.5,0.000372379
5122.5,-0.000265024
5127.5,-0.000930489
5132.5,-0.001609165
5137.5,-0.002298536
5142.5,-0.002999406
5147.5,-0.003704955
5152.5,-0.004399092
5157.5,-0.005068927
5162.5,-0.005718126
5167.5,-0.006355362
5172.5,-0.006982387
5177.5,-0.007596335
5182.5,-0.008216142
5187.5,-0.008855125
5192.5,-0.009519057
5197.5,-0.010213458
5202.5,-0.010940888
5207.5,-0.011705375
5212.5,-0.012504061
5217.5,-0.0133259
5222.5,-0.014154001
5227.5,-0.014980837
5232.5,-0.015799806
5237.5,-0.016595713
5242.5,-0.017367416
5247.5,-0.018114769
5252.5,-0.018839183
5257.5,-0.019538621
5262.5,-0.02020711
5267.5,-0.020827684
5272.5,-0.021390263
5277.5,-0.021910697
5282.5,-0.022405247
5287.5,-0.022901431
5292.5,-0.023423127
5297.5,-0.023983559
5302.5,-0.024592096
5307.5,-0.025244904
5312.5,-0.025907137
5317.5,-0.026536729
5322.5,-0.027112501
5327.5,-0.027617005
5332.5,-0.028036688
5337.5,-0.02835243
5342.5,-0.02853743
5347.5,-0.02859831
5352.5,-0.028563793
5357.5,-0.028459747
5362.5,-0.028322359
5367.5,-0.028202956
5372.5,-0.028136581
5377.5,-0.02814405
5382.5,-0.028213218
5387.5,-0.028305183
5392.5,-0.028393223
5397.5,-0.028469969
5402.5,-0.028529623
5407.5,-0.028583601
5412.5,-0.028646275
5417.5,-0.028706418
5422.5,-0.028754138
5427.5,-0.028785697
5432.5,-0.028799602
5437.5,-0.028804938
5442.5,-0.028822508
5447.5,-0.028877354
5452.5,-0.028987813
5457.5,-0.029138865
5462.5,-0.029270508
5467.5,-0.029317398
5472.5,-0.029241382
5477.5,-0.029025041
5482.5,-0.028666619
5487.5,-0.028179042
5492.5,-0.027588584
5497.5,-0.026918879
5502.5,-0.026168269
5507.5,-0.025315223
5512.5,-0.024344324
5517.5,-0.023263566
5522.5,-0.022102678
5527.5,-0.020900963
5532.5,-0.019702475
5537.5,-0.018543624
5542.5,-0.017451607
5547.5,-0.016443863
5552.5,-0.015517525
5557.5,-0.014657632
5562.5,-0.013830973
5567.5,-0.013006767
5572.5,-0.012158446
5577.5,-0.011273446
5582.5,-0.010343562
5587.5,-0.009371889
5592.5,-0.008386327
5597.5,-0.007418763
5602.5,-0.006487666
5607.5,-0.005585312
5612.5,-0.004696706
5617.5,-0.003803094
5622.5,-0.002893614
5627.5,-0.001969703
5632.5,-0.001043775
5637.5,-0.00013713
5642.5,0.000709505
5647.5,0.001461101
5652.5,0.002104335
5657.5,0.002634989
5662.5,0.003065594
5667.5,0.003412184
5672.5,0.003671418
5677.5,0.003842598
5682.5,0.003936758
5687.5,0.003954871
5692.5,0.003894653
5697.5,0.003779546
5702.5,0.003633889
5707.5,0.003491384
5712.5,0.003380262
5717.5,0.003301682
5722.5,0.003253683
5727.5,0.003230838
5732.5,0.003219954
5737.5,0.003201695
5742.5,0.003166251
5747.5,0.003102272
5752.5,0.002998411
5757.5,0.002843934
5757.90385,0.002829781
